declarationYear,stateName,city,after_2020_only,total_approved_Ihp_amount,total_approved_fema_assistance,incidentBeginDate
2008,California                    ,"Long Beach, California",No,,,2008-11-13
2020,California                    ,"Long Beach, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Long Beach, California",No,3818.39,4.0,2025-01-07
2008,California                    ,"Long Beach, California",No,,,2008-11-13
2020,California                    ,"Long Beach, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Long Beach, California",No,0.0,0.0,2025-01-07
2007,California                    ,"Long Beach, California",No,,,2007-10-21
2020,California                    ,"Long Beach, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Long Beach, California",No,0.0,0.0,2025-01-07
2025,California                    ,"Long Beach, California",Yes,,,2025-01-07
2008,California                    ,"Altadena, California",No,,,2008-11-13
2018,California                    ,"Altadena, California",No,0.0,0.0,2017-12-04
2020,California                    ,"Altadena, California",No,,,2020-08-14
2020,California                    ,"Altadena, California",No,13531.849999999999,2.0,2020-09-04
2025,California                    ,"Altadena, California",No,24693403.78,9145.0,2025-01-07
2025,California                    ,"Altadena, California",Yes,0.0,0.0,2025-01-07
2018,California                    ,"Arcadia, California",No,,,2018-11-08
2020,California                    ,"Arcadia, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Arcadia, California",No,121305.94,110.0,2025-01-07
2018,California                    ,"Arcadia, California",No,,,2017-12-04
2018,California                    ,"Arcadia, California",No,,,2018-11-08
2020,California                    ,"Arcadia, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Arcadia, California",No,33661.3,15.0,2025-01-07
2025,California                    ,"Duarte, California",Yes,941.99,2.0,2025-01-07
2020,California                    ,"Duarte, California",No,4116.0,1.0,2020-09-04
2025,California                    ,"Duarte, California",No,28261.71,11.0,2025-01-07
2018,California                    ,"La Canada Flintridge, California",No,,,2017-12-04
2020,California                    ,"La Canada Flintridge, California",No,0.0,0.0,2020-09-04
2025,California                    ,"La Canada Flintridge, California",No,423659.49,519.0,2025-01-07
2018,California                    ,"Monrovia, California",No,,,2018-11-08
2020,California                    ,"Monrovia, California",No,,,2020-08-14
2020,California                    ,"Monrovia, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Monrovia, California",No,82799.83,74.0,2025-01-07
2020,California                    ,"Montrose, California",Yes,0.0,0.0,2020-09-04
2025,California                    ,"Montrose, California",Yes,22841.45,16.0,2025-01-07
2025,California                    ,"Mount Wilson, California",Yes,,,2025-01-07
2020,California                    ,"Sierra Madre, California",Yes,0.0,0.0,2020-09-04
2025,California                    ,"Sierra Madre, California",Yes,511045.19999999995,455.0,2025-01-07
2025,California                    ,"Sierra Madre, California",Yes,,,2025-01-07
2020,California                    ,"South Pasadena, California",Yes,,,2020-09-04
2025,California                    ,"South Pasadena, California",Yes,36953.0,16.0,2025-01-07
2025,California                    ,"South Pasadena, California",Yes,,,2025-01-07
2008,California                    ,"Sunland, California",No,,,2008-11-13
2018,California                    ,"Sunland, California",No,47872.91,9.0,2017-12-04
2020,California                    ,"Sunland, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Sunland, California",No,21405.91,6.0,2025-01-07
2018,California                    ,"Tujunga, California",No,0.0,0.0,2017-12-04
2020,California                    ,"Tujunga, California",No,,,2020-09-04
2025,California                    ,"Tujunga, California",No,17468.39,19.0,2025-01-07
2025,California                    ,"Verdugo City, California",Yes,,,2025-01-07
2025,California                    ,"Arcadia, California",Yes,,,2025-01-07
2008,California                    ,"Pasadena, California",No,,,2008-11-13
2018,California                    ,"Pasadena, California",No,,,2017-12-04
2020,California                    ,"Pasadena, California",No,3210.0,1.0,2020-09-04
2025,California                    ,"Pasadena, California",No,168491.31,71.0,2025-01-07
2008,California                    ,"Pasadena, California",No,689.99,2.0,2008-11-13
2018,California                    ,"Pasadena, California",No,,,2017-12-04
2020,California                    ,"Pasadena, California",No,,,2020-08-14
2020,California                    ,"Pasadena, California",No,7275.51,1.0,2020-09-04
2025,California                    ,"Pasadena, California",No,1304710.6500000001,772.0,2025-01-07
2018,California                    ,"Pasadena, California",No,0.0,0.0,2017-12-04
2020,California                    ,"Pasadena, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Pasadena, California",No,3465387.86,1930.0,2025-01-07
2018,California                    ,"Pasadena, California",No,,,2017-12-04
2020,California                    ,"Pasadena, California",No,3210.0,1.0,2020-09-04
2025,California                    ,"Pasadena, California",No,60756.38,20.0,2025-01-07
2020,California                    ,"Pasadena, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Pasadena, California",No,290518.87,90.0,2025-01-07
2020,California                    ,"Pasadena, California",No,,,2020-08-14
2020,California                    ,"Pasadena, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Pasadena, California",No,1894034.62,944.0,2025-01-07
2018,California                    ,"San Marino, California",No,,,2017-12-04
2020,California                    ,"San Marino, California",No,0.0,0.0,2020-09-04
2025,California                    ,"San Marino, California",No,3125.9700000000003,5.0,2025-01-07
2025,California                    ,"Pasadena, California",Yes,,,2025-01-07
2025,California                    ,"Pasadena, California",Yes,,,2025-01-07
2020,California                    ,"Glendale, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Glendale, California",No,111851.48000000001,51.0,2025-01-07
2018,California                    ,"Glendale, California",No,,,2017-12-04
2018,California                    ,"Glendale, California",No,,,2018-11-08
2020,California                    ,"Glendale, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Glendale, California",No,83620.17000000001,34.0,2025-01-07
2020,California                    ,"Glendale, California",Yes,0.0,0.0,2020-09-04
2025,California                    ,"Glendale, California",Yes,80813.36,39.0,2025-01-07
2018,California                    ,"Glendale, California",No,,,2018-11-08
2020,California                    ,"Glendale, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Glendale, California",No,60800.25,36.0,2025-01-07
2020,California                    ,"Glendale, California",No,,,2020-09-04
2025,California                    ,"Glendale, California",No,186762.49,92.0,2025-01-07
2018,California                    ,"Glendale, California",No,0.0,0.0,2017-12-04
2020,California                    ,"Glendale, California",No,,,2020-09-04
2025,California                    ,"Glendale, California",No,183060.08000000002,129.0,2025-01-07
2018,California                    ,"Glendale, California",No,,,2017-12-04
2018,California                    ,"Glendale, California",No,,,2018-11-08
2020,California                    ,"Glendale, California",No,,,2020-09-04
2025,California                    ,"Glendale, California",No,39525.67,9.0,2025-01-07
2018,California                    ,"Glendale, California",No,,,2018-11-08
2020,California                    ,"Glendale, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Glendale, California",No,40161.4,27.0,2025-01-07
2025,California                    ,"Glendale, California",Yes,0.0,0.0,2025-01-07
2018,California                    ,"La Crescenta, California",No,,,2018-11-08
2020,California                    ,"La Crescenta, California",No,,,2020-09-04
2025,California                    ,"La Crescenta, California",No,44802.32,35.0,2025-01-07
2018,California                    ,"Agoura Hills, California",No,,,2017-12-04
2018,California                    ,"Agoura Hills, California",No,1824687.55,177.0,2018-11-08
2020,California                    ,"Agoura Hills, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Agoura Hills, California",No,23862.23,23.0,2025-01-07
2007,California                    ,"Calabasas, California",No,,,2007-10-21
2018,California                    ,"Calabasas, California",No,83309.89,16.0,2018-11-08
2020,California                    ,"Calabasas, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Calabasas, California",No,261926.77000000002,243.0,2025-01-07
2018,California                    ,"Canoga Park, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Canoga Park, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Canoga Park, California",No,8068.06,1.0,2025-01-07
2007,California                    ,"Canoga Park, California",No,,,2007-10-21
2008,California                    ,"Canoga Park, California",No,,,2008-11-13
2018,California                    ,"Canoga Park, California",No,,,2017-12-04
2018,California                    ,"Canoga Park, California",No,37668.0,1.0,2018-11-08
2020,California                    ,"Canoga Park, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Canoga Park, California",No,25141.12,4.0,2025-01-07
2018,California                    ,"Winnetka, California",No,,,2017-12-04
2018,California                    ,"Winnetka, California",No,,,2018-11-08
2020,California                    ,"Winnetka, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Winnetka, California",No,1540.0,2.0,2025-01-07
2007,California                    ,"West Hills, California",No,,,2007-10-21
2018,California                    ,"West Hills, California",No,77823.14,10.0,2018-11-08
2020,California                    ,"West Hills, California",No,0.0,0.0,2020-09-04
2025,California                    ,"West Hills, California",No,3080.0,4.0,2025-01-07
2008,California                    ,"West Hills, California",No,,,2008-11-13
2025,California                    ,"Canoga Park, California",Yes,,,2025-01-07
2007,California                    ,"Chatsworth, California",No,,,2007-10-21
2008,California                    ,"Chatsworth, California",No,21225.7,3.0,2008-11-13
2018,California                    ,"Chatsworth, California",No,0.0,0.0,2017-12-04
2018,California                    ,"Chatsworth, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Chatsworth, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Chatsworth, California",No,10924.48,4.0,2025-01-07
2025,California                    ,Error,Yes,,,2025-01-07
2025,California                    ,"Chatsworth, California",Yes,,,2025-01-07
2018,California                    ,"Encino, California",No,,,2018-11-08
2020,California                    ,"Encino, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Encino, California",No,46752.64,14.0,2025-01-07
2018,California                    ,"Newbury Park, California",No,6790.24,2.0,2018-11-08
2007,California                    ,"Newhall, California",No,,,2007-10-21
2008,California                    ,"Newhall, California",No,,,2008-11-13
2020,California                    ,"Newhall, California",No,,,2020-08-14
2020,California                    ,"Newhall, California",No,,,2020-09-04
2025,California                    ,"Newhall, California",No,770.0,1.0,2025-01-07
2020,California                    ,"Northridge, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Northridge, California",No,3464.71,5.0,2025-01-07
2008,California                    ,"Northridge, California",No,,,2008-11-13
2018,California                    ,"Northridge, California",No,,,2017-12-04
2020,California                    ,"Northridge, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Northridge, California",No,2011.99,3.0,2025-01-07
2008,California                    ,"Porter Ranch, California",No,2164.5,1.0,2008-11-13
2018,California                    ,"Porter Ranch, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Porter Ranch, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Porter Ranch, California",No,3227.88,6.0,2025-01-07
2025,California                    ,"Northridge, California",Yes,,,2025-01-07
2025,California                    ,"Northridge, California",Yes,,,2025-01-07
2018,California                    ,"Pacoima, California",No,0.0,0.0,2017-12-04
2020,California                    ,"Pacoima, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Pacoima, California",No,22168.46,10.0,2025-01-07
2018,California                    ,"Reseda, California",No,,,2017-12-04
2020,California                    ,"Reseda, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Reseda, California",No,4580.0,5.0,2025-01-07
2018,California                    ,"San Fernando, California",No,,,2017-12-04
2018,California                    ,"San Fernando, California",No,,,2018-11-08
2020,California                    ,"San Fernando, California",No,,,2020-09-04
2025,California                    ,"San Fernando, California",No,13766.96,9.0,2025-01-07
2007,California                    ,"Sylmar, California",No,,,2007-10-21
2008,California                    ,"Sylmar, California",No,2127058.31,153.0,2008-11-13
2018,California                    ,"Sylmar, California",No,301463.28,28.0,2017-12-04
2018,California                    ,"Sylmar, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Sylmar, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Sylmar, California",No,151496.3,63.0,2025-01-07
2008,California                    ,"North Hills, California",No,0.0,0.0,2008-11-13
2018,California                    ,"North Hills, California",No,,,2017-12-04
2018,California                    ,"North Hills, California",No,,,2018-11-08
2020,California                    ,"North Hills, California",No,,,2020-08-14
2020,California                    ,"North Hills, California",No,0.0,0.0,2020-09-04
2025,California                    ,"North Hills, California",No,13050.0,15.0,2025-01-07
2008,California                    ,"Granada Hills, California",No,300.0,1.0,2008-11-13
2018,California                    ,"Granada Hills, California",No,,,2017-12-04
2018,California                    ,"Granada Hills, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Granada Hills, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Granada Hills, California",No,62473.520000000004,36.0,2025-01-07
2018,California                    ,"Mission Hills, California",No,,,2017-12-04
2018,California                    ,"Mission Hills, California",No,,,2018-11-08
2020,California                    ,"Mission Hills, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Mission Hills, California",No,5820.0,6.0,2025-01-07
2007,California                    ,"Santa Clarita, California",No,,,2007-10-21
2018,California                    ,"Santa Clarita, California",No,,,2017-12-04
2018,California                    ,"Santa Clarita, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Santa Clarita, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Santa Clarita, California",No,2310.0,3.0,2025-01-07
2007,California                    ,"Canyon Country, California",No,,,2007-10-21
2020,California                    ,"Canyon Country, California",No,,,2020-08-14
2020,California                    ,"Canyon Country, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Canyon Country, California",No,941.99,1.0,2025-01-07
2018,California                    ,"Sun Valley, California",No,,,2017-12-04
2020,California                    ,"Sun Valley, California",No,3210.0,1.0,2020-09-04
2025,California                    ,"Sun Valley, California",No,33185.740000000005,12.0,2025-01-07
2025,California                    ,"Sun Valley, California",Yes,,,2025-01-07
2020,California                    ,"Valencia, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Valencia, California",No,8770.0,11.0,2025-01-07
2008,California                    ,"Valencia, California",No,,,2008-11-13
2018,California                    ,"Valencia, California",No,0.0,0.0,2017-12-04
2020,California                    ,"Valencia, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Valencia, California",No,1840.0,2.0,2025-01-07
2018,California                    ,"Tarzana, California",No,,,2017-12-04
2018,California                    ,"Tarzana, California",No,,,2018-11-08
2020,California                    ,"Tarzana, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Tarzana, California",No,17085.87,10.0,2025-01-07
2007,California                    ,"Thousand Oaks, California",No,,,2007-10-21
2018,California                    ,"Thousand Oaks, California",No,,,2017-12-04
2018,California                    ,"Thousand Oaks, California",No,0.0,0.0,2018-11-08
2018,California                    ,"Westlake Village, California",No,127804.11,15.0,2018-11-08
2020,California                    ,"Westlake Village, California",No,,,2020-09-04
2025,California                    ,"Westlake Village, California",No,0.0,0.0,2025-01-07
2018,California                    ,"Thousand Oaks, California",No,0.0,0.0,2017-12-04
2018,California                    ,"Thousand Oaks, California",No,68201.09,5.0,2018-11-08
2020,California                    ,"Thousand Oaks, California",No,,,2020-08-14
2020,California                    ,"Thousand Oaks, California",No,,,2020-09-04
2025,California                    ,"Thousand Oaks, California",No,0.0,0.0,2025-01-07
2018,California                    ,"Woodland Hills, California",No,,,2017-12-04
2018,California                    ,"Woodland Hills, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Woodland Hills, California",No,3210.0,1.0,2020-09-04
2025,California                    ,"Woodland Hills, California",No,119933.70999999999,123.0,2025-01-07
2007,California                    ,"Woodland Hills, California",No,,,2007-10-21
2018,California                    ,"Woodland Hills, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Woodland Hills, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Woodland Hills, California",No,37040.01,29.0,2025-01-07
2018,California                    ,"Oak Park, California",No,87063.62,4.0,2018-11-08
2020,California                    ,"Oak Park, California",No,,,2020-08-14
2025,California                    ,"Santa Clarita, California",Yes,,,2025-01-07
2007,California                    ,"Stevenson Ranch, California",No,,,2007-10-21
2018,California                    ,"Stevenson Ranch, California",No,,,2018-11-08
2020,California                    ,"Stevenson Ranch, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Stevenson Ranch, California",No,2140.0,2.0,2025-01-07
2007,California                    ,"Castaic, California",No,,,2007-10-21
2018,California                    ,"Castaic, California",No,,,2017-12-04
2018,California                    ,"Castaic, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Castaic, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Castaic, California",No,38500.0,50.0,2025-01-07
2007,California                    ,"Canyon Country, California",No,,,2007-10-21
2008,California                    ,"Canyon Country, California",No,,,2008-11-13
2018,California                    ,"Canyon Country, California",No,,,2017-12-04
2020,California                    ,"Canyon Country, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Canyon Country, California",No,770.0,1.0,2025-01-07
2007,California                    ,"Santa Clarita, California",No,,,2007-10-21
2008,California                    ,"Santa Clarita, California",No,,,2008-11-13
2020,California                    ,"Santa Clarita, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Santa Clarita, California",No,15202.0,14.0,2025-01-07
2018,California                    ,"Van Nuys, California",No,,,2017-12-04
2020,California                    ,"Van Nuys, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Van Nuys, California",No,24581.15,10.0,2025-01-07
2008,California                    ,"Panorama City, California",No,,,2008-11-13
2018,California                    ,"Panorama City, California",No,0.0,0.0,2017-12-04
2020,California                    ,"Panorama City, California",No,,,2020-08-14
2020,California                    ,"Panorama City, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Panorama City, California",No,54248.74,16.0,2025-01-07
2020,California                    ,"Sherman Oaks, California",No,,,2020-08-14
2020,California                    ,"Sherman Oaks, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Sherman Oaks, California",No,49209.38,13.0,2025-01-07
2008,California                    ,"Van Nuys, California",No,,,2008-11-13
2018,California                    ,"Van Nuys, California",No,0.0,0.0,2017-12-04
2018,California                    ,"Van Nuys, California",No,,,2018-11-08
2020,California                    ,"Van Nuys, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Van Nuys, California",No,19300.47,17.0,2025-01-07
2008,California                    ,"Van Nuys, California",No,,,2008-11-13
2018,California                    ,"Van Nuys, California",No,,,2017-12-04
2020,California                    ,"Van Nuys, California",No,1049.68,1.0,2020-09-04
2025,California                    ,"Van Nuys, California",No,28164.18,19.0,2025-01-07
2025,California                    ,"Van Nuys, California",Yes,,,2025-01-07
2007,California                    ,"Van Nuys, California",No,,,2007-10-21
2008,California                    ,"Van Nuys, California",No,,,2008-11-13
2018,California                    ,"Van Nuys, California",No,,,2017-12-04
2018,California                    ,"Van Nuys, California",No,,,2018-11-08
2020,California                    ,"Van Nuys, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Van Nuys, California",No,1413.98,3.0,2025-01-07
2020,California                    ,"Sherman Oaks, California",Yes,,,2020-09-04
2018,California                    ,"Sherman Oaks, California",No,,,2017-12-04
2018,California                    ,"Sherman Oaks, California",No,0.0,0.0,2018-11-08
2020,California                    ,"Sherman Oaks, California",No,,,2020-08-14
2020,California                    ,"Sherman Oaks, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Sherman Oaks, California",No,27327.71,6.0,2025-01-07
2018,California                    ,"Encino, California",No,0.0,0.0,2017-12-04
2018,California                    ,"Encino, California",No,,,2018-11-08
2020,California                    ,"Encino, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Encino, California",No,251484.27000000002,298.0,2025-01-07
2018,California                    ,"Burbank, California",No,,,2017-12-04
2018,California                    ,"Burbank, California",No,,,2018-11-08
2020,California                    ,"Burbank, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Burbank, California",No,34047.32,30.0,2025-01-07
2020,California                    ,"Burbank, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Burbank, California",No,16472.64,8.0,2025-01-07
2018,California                    ,"Burbank, California",No,,,2018-11-08
2020,California                    ,"Burbank, California",No,,,2020-08-14
2020,California                    ,"Burbank, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Burbank, California",No,11952.0,9.0,2025-01-07
2018,California                    ,"Burbank, California",No,,,2017-12-04
2020,California                    ,"Burbank, California",No,4116.0,1.0,2020-09-04
2025,California                    ,"Burbank, California",No,11073.33,7.0,2025-01-07
2018,California                    ,"Burbank, California",No,,,2017-12-04
2018,California                    ,"Burbank, California",No,,,2018-11-08
2020,California                    ,"Burbank, California",No,,,2020-09-04
2025,California                    ,"Burbank, California",No,10570.0,11.0,2025-01-07
2025,California                    ,"Burbank, California",Yes,,,2025-01-07
2025,California                    ,"Burbank, California",Yes,,,2025-01-07
2020,California                    ,Error,Yes,,,2020-09-04
2017,California                    ,"North Hollywood, California",No,,,2017-10-08
2018,California                    ,"North Hollywood, California",No,,,2018-11-08
2020,California                    ,"North Hollywood, California",No,0.0,0.0,2020-09-04
2025,California                    ,"North Hollywood, California",No,57267.57,31.0,2025-01-07
2018,California                    ,"North Hollywood, California",No,,,2017-12-04
2020,California                    ,"North Hollywood, California",No,0.0,0.0,2020-09-04
2025,California                    ,"North Hollywood, California",No,9542.21,5.0,2025-01-07
2018,California                    ,"Studio City, California",No,0.0,0.0,2017-12-04
2018,California                    ,"Studio City, California",No,,,2018-11-08
2020,California                    ,"Studio City, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Studio City, California",No,11697.97,10.0,2025-01-07
2008,California                    ,"North Hollywood, California",No,,,2008-11-13
2018,California                    ,"North Hollywood, California",No,0.0,0.0,2017-12-04
2020,California                    ,"North Hollywood, California",No,0.0,0.0,2020-09-04
2025,California                    ,"North Hollywood, California",No,115350.44,44.0,2025-01-07
2018,California                    ,"North Hollywood, California",No,,,2017-12-04
2018,California                    ,"North Hollywood, California",No,,,2018-11-08
2020,California                    ,"North Hollywood, California",No,0.0,0.0,2020-09-04
2025,California                    ,"North Hollywood, California",No,37403.520000000004,43.0,2025-01-07
2018,California                    ,"Valley Village, California",No,,,2017-12-04
2020,California                    ,"Valley Village, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Valley Village, California",No,24686.93,10.0,2025-01-07
2025,California                    ,"Studio City, California",Yes,,,2025-01-07
2007,California                    ,"Rancho Cucamonga, California",No,,,2007-10-21
2020,California                    ,"Rancho Cucamonga, California",No,0.0,0.0,2020-09-04
2020,California                    ,"Azusa, California",No,,,2020-08-14
2020,California                    ,"Azusa, California",No,17805.079999999998,3.0,2020-09-04
2025,California                    ,"Azusa, California",No,15774.0,9.0,2025-01-07
2020,California                    ,"Baldwin Park, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Baldwin Park, California",No,19106.21,3.0,2025-01-07
2020,California                    ,"Chino, California",Yes,,,2020-09-04
2007,California                    ,"Chino Hills, California",No,,,2007-10-21
2008,California                    ,"Chino Hills, California",No,,,2008-11-13
2020,California                    ,"Chino Hills, California",No,4738.0,1.0,2020-09-04
2007,California                    ,"Chino, California",No,,,2007-10-21
2020,California                    ,"Chino, California",No,0.0,0.0,2020-09-04
2018,California                    ,"Claremont, California",No,,,2017-12-04
2020,California                    ,"Claremont, California",No,,,2020-08-14
2020,California                    ,"Claremont, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Claremont, California",No,8044.02,2.0,2025-01-07
2020,California                    ,"Covina, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Covina, California",No,2610.0,3.0,2025-01-07
2020,Oregon                        ,"Covina, California",No,,,2020-09-07
2020,California                    ,"Covina, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Covina, California",No,770.0,1.0,2025-01-07
2020,California                    ,"Covina, California",No,3210.0,1.0,2020-09-04
2025,California                    ,"Covina, California",No,6524.02,1.0,2025-01-07
2017,California                    ,"Rancho Cucamonga, California",No,,,2017-10-08
2020,California                    ,"Rancho Cucamonga, California",No,0.0,0.0,2020-09-04
2025,California                    ,"El Monte, California",No,0.0,0.0,2025-01-07
2020,California                    ,"El Monte, California",No,0.0,0.0,2020-09-04
2025,California                    ,"El Monte, California",No,0.0,0.0,2025-01-07
2020,California                    ,"South El Monte, California",Yes,,,2020-09-04
2025,California                    ,"South El Monte, California",Yes,1540.0,2.0,2025-01-07
2020,California                    ,"Rancho Cucamonga, California",No,0.0,0.0,2020-09-04
2007,California                    ,"Rancho Cucamonga, California",No,,,2007-10-21
2020,California                    ,"Rancho Cucamonga, California",No,0.0,0.0,2020-09-04
2020,California                    ,"Glendora, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Glendora, California",No,1070.0,1.0,2025-01-07
2018,California                    ,"Glendora, California",No,,,2017-12-04
2020,California                    ,"Glendora, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Glendora, California",No,770.0,1.0,2025-01-07
2018,California                    ,"La Puente, California",No,,,2017-12-04
2020,California                    ,"La Puente, California",No,0.0,0.0,2020-09-04
2025,California                    ,"La Puente, California",No,1840.0,2.0,2025-01-07
2020,California                    ,"Hacienda Heights, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Hacienda Heights, California",No,1840.0,2.0,2025-01-07
2020,California                    ,"La Puente, California",No,0.0,0.0,2020-09-04
2025,California                    ,"La Puente, California",No,770.0,1.0,2025-01-07
2008,California                    ,"Rowland Heights, California",No,,,2008-11-13
2020,California                    ,"Rowland Heights, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Rowland Heights, California",No,0.0,0.0,2025-01-07
2020,California                    ,"La Verne, California",No,0.0,0.0,2020-09-04
2025,California                    ,"La Verne, California",No,18806.21,3.0,2025-01-07
2020,California                    ,"Mira Loma, California",No,,,2020-08-14
2020,California                    ,"Monterey Park, California",No,0.0,0.0,2020-08-14
2020,California                    ,"Monterey Park, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Monterey Park, California",No,1070.0,1.0,2025-01-07
2020,California                    ,"Monterey Park, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Monterey Park, California",No,770.0,1.0,2025-01-07
2020,California                    ,"Monterey Park, California",Yes,,,2020-09-04
2020,California                    ,"Mt Baldy, California",No,,,2020-09-04
2025,California                    ,"Mt Baldy, California",No,,,2025-01-07
2007,California                    ,"Ontario, California",No,,,2007-10-21
2020,California                    ,"Ontario, California",No,5006.5,1.0,2020-09-04
2017,California                    ,"Ontario, California",No,,,2017-10-08
2020,California                    ,"Ontario, California",No,0.0,0.0,2020-09-04
2020,California                    ,"Montclair, California",No,,,2020-08-14
2020,California                    ,"Montclair, California",No,0.0,0.0,2020-09-04
2020,California                    ,"Ontario, California",No,5482.76,1.0,2020-09-04
2020,California                    ,"Diamond Bar, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Diamond Bar, California",No,19111.52,2.0,2025-01-07
2008,California                    ,"Pomona, California",No,,,2008-11-13
2018,California                    ,"Pomona, California",No,,,2017-12-04
2018,California                    ,"Pomona, California",No,,,2018-11-08
2020,California                    ,"Pomona, California",No,5325.84,1.0,2020-09-04
2025,California                    ,"Pomona, California",No,0.0,0.0,2025-01-07
2018,California                    ,"Pomona, California",No,,,2018-11-08
2020,California                    ,"Pomona, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Pomona, California",No,0.0,0.0,2025-01-07
2018,California                    ,"Pomona, California",No,,,2018-11-08
2020,California                    ,"Pomona, California",No,0.0,0.0,2020-09-04
2025,California                    ,"Pomona, California",No,4981.54,1.0,2025-01-07
2018,California                    ,"Rosemead, California",No,,,2018-11-08
2020,California                    ,"Rosemead, California",No,,,2020-09-04
2025,California                    ,"Rosemead, California",No,1540.0,2.0,2025-01-07
2007,California                    ,"San Dimas, California",No,,,2007-10-21
2018,California                    ,"San Dimas, California",No,,,2017-12-04
2018,California                    ,"San Dimas, California",No,,,2018-11-08
2020,California                    ,"San Dimas, California",No,0.0,0.0,2020-09-04
2025,California                    ,"San Dimas, California",No,770.0,1.0,2025-01-07
2018,California                    ,"San Gabriel, California",No,,,2017-12-04
2020,California                    ,"San Gabriel, California",No,0.0,0.0,2020-09-04
2025,California                    ,"San Gabriel, California",No,27831.280000000002,13.0,2025-01-07
2020,California                    ,"San Gabriel, California",No,0.0,0.0,2020-09-04
2025,California                    ,"San Gabriel, California",No,13697.95,10.0,2025-01-07
2020,California                    ,"Temple City, California",Yes,0.0,0.0,2020-09-04
2025,California                    ,"Temple City, California",Yes,8492.92,11.0,2025-01-07
2020,California                    ,"Upland, California",No,0.0,0.0,2020-09-04
